CustomerID,OrderDate,Amount
C0022,2024-01-01,131.05
C0063,2024-01-01,26.88
C0081,2024-01-01,279.32
C0082,2024-01-01,203.65
C0012,2024-01-01,98.03
C0027,2024-01-01,94.11
C0033,2024-01-01,151.96
C0001,2024-01-01,156.97
C0089,2024-01-01,176.96
C0019,2024-01-01,69.57
C0100,2024-01-01,110.3
C0033,2024-01-01,50.95
C0090,2024-01-01,293.18
C0115,2024-01-01,99.66
C0043,2024-01-01,213.23
C0010,2024-01-01,141.26
C0118,2024-01-02,219.42
C0085,2024-01-02,52.3
C0022,2024-01-02,89.9
C0077,2024-01-02,70.38
C0003,2024-01-02,192.47
C0101,2024-01-02,113.09
C0002,2024-01-02,64.49
C0018,2024-01-02,178.49
C0059,2024-01-02,226.93
C0036,2024-01-02,158.54
C0084,2024-01-02,204.89
C0026,2024-01-02,201.53
C0004,2024-01-03,63.58
C0007,2024-01-03,144.06
C0084,2024-01-03,25.34
C0036,2024-01-03,21.53
C0006,2024-01-03,137.58
C0063,2024-01-03,20.91
C0069,2024-01-03,145.54
C0072,2024-01-03,25.48
C0007,2024-01-03,198.37
C0110,2024-01-04,357.6
C0041,2024-01-04,73.68
C0072,2024-01-04,47.86
C0023,2024-01-04,71.51
C0026,2024-01-04,128.37
C0069,2024-01-04,369.24
C0112,2024-01-04,37.5
C0090,2024-01-04,78.62
C0023,2024-01-04,49.48
C0021,2024-01-05,27.6
C0081,2024-01-05,91.04
C0111,2024-01-05,50.6
C0005,2024-01-05,126.44
C0026,2024-01-05,205.15
C0036,2024-01-05,41.38
C0105,2024-01-05,54.86
C0033,2024-01-06,62.42
C0107,2024-01-06,84.54
C0008,2024-01-06,189.19
C0031,2024-01-06,380.64
C0030,2024-01-06,80.14
C0001,2024-01-06,86.8
C0080,2024-01-06,178.54
C0047,2024-01-06,109.08
C0061,2024-01-06,63.52
C0070,2024-01-06,45.66
C0071,2024-01-07,34.09
C0110,2024-01-07,68.31
C0048,2024-01-07,89.14
C0074,2024-01-07,174.93
C0085,2024-01-07,288.5
C0021,2024-01-07,207.99
C0098,2024-01-07,41.91
C0082,2024-01-07,35.94
C0077,2024-01-07,19.72
C0066,2024-01-08,117.73
C0071,2024-01-08,153.98
C0104,2024-01-08,52.89
C0076,2024-01-08,148.38
C0056,2024-01-08,125.97
C0084,2024-01-08,53.32
C0035,2024-01-08,104.51
C0110,2024-01-08,349.41
C0007,2024-01-08,93.02
C0061,2024-01-08,75.64
C0002,2024-01-08,115.42
C0106,2024-01-08,61.97
C0080,2024-01-08,254.81
C0099,2024-01-09,315.74
C0052,2024-01-09,283.06
C0006,2024-01-09,163.22
C0109,2024-01-09,123.21
C0097,2024-01-09,69.87
C0011,2024-01-09,67.94
C0117,2024-01-09,104.35
C0026,2024-01-09,51.87
C0067,2024-01-09,137.15
C0085,2024-01-10,230.27
C0054,2024-01-10,201.13
C0016,2024-01-10,116.15
C0038,2024-01-10,58.54
C0026,2024-01-10,118.39
C0091,2024-01-10,199.91
C0037,2024-01-10,157.76
C0023,2024-01-10,162.13
C0054,2024-01-11,110.9
C0111,2024-01-11,215.62
C0056,2024-01-11,279.19
C0059,2024-01-11,145.9
C0106,2024-01-11,58.65
C0107,2024-01-11,19.64
C0057,2024-01-11,80.27
C0086,2024-01-11,223.83
C0097,2024-01-11,111.25
C0026,2024-01-11,243.76
C0120,2024-01-12,349.08
C0089,2024-01-12,58.75
C0098,2024-01-12,111.33
C0060,2024-01-12,93.08
C0079,2024-01-12,238.93
C0106,2024-01-12,106.81
C0062,2024-01-12,93.42
C0118,2024-01-12,206.5
C0026,2024-01-12,122.47
C0022,2024-01-13,222.04
C0066,2024-01-13,203.33
C0048,2024-01-13,27.06
C0085,2024-01-13,35.11
C0058,2024-01-13,142.27
C0034,2024-01-13,136.92
C0010,2024-01-13,83.27
C0111,2024-01-13,616.73
C0071,2024-01-13,82.91
C0101,2024-01-13,80.56
C0016,2024-01-14,421.63
C0096,2024-01-14,216.85
C0018,2024-01-14,178.33
C0095,2024-01-14,47.82
C0048,2024-01-14,116.7
C0022,2024-01-14,279.69
C0101,2024-01-14,73.91
C0053,2024-01-14,121.14
C0070,2024-01-14,244.45
C0049,2024-01-14,329.31
C0106,2024-01-14,105.0
C0007,2024-01-15,209.65
C0019,2024-01-15,141.81
C0026,2024-01-15,15.42
C0024,2024-01-15,101.2
C0088,2024-01-15,61.87
C0050,2024-01-15,125.3
C0083,2024-01-15,168.56
C0033,2024-01-16,66.2
C0031,2024-01-16,209.7
C0107,2024-01-16,234.42
C0054,2024-01-16,124.76
C0072,2024-01-16,44.43
C0084,2024-01-16,138.96
C0011,2024-01-16,76.4
C0041,2024-01-16,323.79
C0088,2024-01-17,145.96
C0107,2024-01-17,66.33
C0033,2024-01-17,51.74
C0095,2024-01-17,100.67
C0026,2024-01-17,53.48
C0050,2024-01-17,78.64
C0086,2024-01-17,73.8
C0090,2024-01-18,212.72
C0035,2024-01-18,55.76
C0084,2024-01-18,320.15
C0001,2024-01-18,20.88
C0010,2024-01-18,223.5
C0031,2024-01-18,63.6
C0021,2024-01-18,176.18
C0093,2024-01-18,125.44
C0048,2024-01-18,383.83
C0102,2024-01-18,134.93
C0073,2024-01-18,85.07
C0030,2024-01-19,46.34
C0048,2024-01-19,130.36
C0091,2024-01-19,293.79
C0021,2024-01-19,42.05
C0112,2024-01-19,75.44
C0011,2024-01-19,31.51
C0068,2024-01-19,379.64
C0074,2024-01-20,26.49
C0023,2024-01-20,92.4
C0062,2024-01-20,86.92
C0058,2024-01-20,27.99
C0047,2024-01-20,158.36
C0025,2024-01-20,188.33
C0045,2024-01-20,163.25
C0045,2024-01-20,148.39
C0004,2024-01-20,34.49
C0070,2024-01-20,320.83
C0081,2024-01-20,141.32
C0110,2024-01-20,124.48
C0054,2024-01-20,48.75
C0028,2024-01-20,298.1
C0094,2024-01-21,166.56
C0085,2024-01-21,95.7
C0066,2024-01-21,143.1
C0048,2024-01-21,190.55
C0021,2024-01-21,188.2
C0104,2024-01-21,51.36
C0093,2024-01-21,121.41
C0010,2024-01-22,40.42
C0015,2024-01-22,99.53
C0072,2024-01-22,204.75
C0111,2024-01-22,157.78
C0032,2024-01-22,279.45
C0072,2024-01-22,352.12
C0098,2024-01-22,112.07
C0116,2024-01-23,88.47
C0112,2024-01-23,129.5
C0026,2024-01-23,179.93
C0018,2024-01-23,95.52
C0114,2024-01-23,260.87
C0071,2024-01-23,201.3
C0094,2024-01-23,85.32
C0015,2024-01-23,119.1
C0091,2024-01-23,271.15
C0028,2024-01-23,51.35
C0003,2024-01-23,51.69
C0111,2024-01-24,58.16
C0106,2024-01-24,54.29
C0092,2024-01-24,97.37
C0100,2024-01-24,298.19
C0042,2024-01-24,285.27
C0080,2024-01-24,63.34
C0071,2024-01-24,113.52
C0114,2024-01-24,40.51
C0071,2024-01-24,60.79
C0018,2024-01-25,101.13
C0024,2024-01-25,156.25
C0009,2024-01-25,54.74
C0108,2024-01-25,122.8
C0114,2024-01-25,100.45
C0041,2024-01-25,46.69
C0060,2024-01-25,155.24
C0082,2024-01-25,97.45
C0090,2024-01-25,162.2
C0111,2024-01-25,43.46
C0032,2024-01-25,61.93
C0029,2024-01-25,153.69
C0098,2024-01-25,36.56
C0111,2024-01-26,435.07
C0079,2024-01-26,110.0
C0075,2024-01-26,134.21
C0004,2024-01-26,63.54
C0093,2024-01-26,105.03
C0060,2024-01-26,360.08
C0106,2024-01-26,88.4
C0106,2024-01-26,101.2
C0042,2024-01-27,95.5
C0051,2024-01-27,154.35
C0055,2024-01-27,248.66
C0075,2024-01-27,154.56
C0104,2024-01-27,86.0
C0038,2024-01-27,134.94
C0037,2024-01-27,238.24
C0008,2024-01-27,359.63
C0064,2024-01-27,87.14
C0089,2024-01-28,270.16
C0087,2024-01-28,186.62
C0112,2024-01-28,169.89
C0028,2024-01-28,194.55
C0118,2024-01-28,21.4
C0101,2024-01-28,107.2
C0052,2024-01-28,341.48
C0079,2024-01-28,82.87
C0015,2024-01-29,129.25
C0040,2024-01-29,40.78
C0028,2024-01-29,115.87
C0071,2024-01-29,57.76
C0118,2024-01-29,27.93
C0046,2024-01-29,99.3
C0087,2024-01-29,88.25
C0077,2024-01-29,53.17
C0096,2024-01-30,78.17
C0119,2024-01-30,232.5
C0031,2024-01-30,96.32
C0095,2024-01-30,151.9
C0030,2024-01-30,145.22
C0015,2024-01-30,154.22
