統計年月,館藏地,借閱人次,借閱冊數,續借人次,續借冊數,還書人次,還書冊數,預約人次,預約冊數,取消預約人次,取消預約冊數,借閱及續借人次,借閱及續借冊數
"11401","新竹市圖書館一般閱覽室","21","33","12","21","24","50","3","7","27","27","33","54"
"11401","新竹市圖書館香山分館","4436","15905","513","1165","4365","12832","1453","1904","153","186","4949","17070"
"11401","新竹市圖書館金山分館","2280","6403","323","608","2301","5268","812","984","68","0","2603","7011"
"11401","新竹市圖書館鹽水分館","2896","9466","365","823","2891","7766","1462","2098","133","156","3261","10289"
"11401","新竹市圖書館南寮分館","1765","5141","218","384","1714","4172","822","1003","67","80","1983","5525"
"11401","新竹市圖書館兒童閱覽室","4","5","3","3","3","4","0","0","5","6","7","8"
"11401","新竹市圖書館視聽室","0","0","0","0","0","0","0","0","0","0","0","0"
"11401","新竹市圖書館動物園分館","3651","14019","423","1045","3861","12403","925","1182","104","112","4074","15064"
"11401","新竹市圖書館龍山分館","5225","17223","666","1555","5509","15579","1579","2036","195","214","5891","18778"
"11401","新竹市微型圖書館","249","618","0","0","292","623","0","0","0","0","249","618"
"11401","新竹市青少年館","1882","5997","215","465","1909","5023","611","783","80","96","2097","6462"
"11401","新竹市圖書館關東分館","3148","9529","506","1069","3354","8557","1224","1514","111","122","3654","10598"
"11402","新竹市圖書館一般閱覽室","14","21","14","25","15","23","7","8","18","22","28","46"
"11402","新竹市圖書館香山分館","4321","14065","678","1682","5089","16211","1478","1947","169","204","4999","15747"
"11402","新竹市圖書館金山分館","2090","5617","390","887","2641","6326","830","965","74","90","2480","6504"
"11402","新竹市圖書館鹽水分館","2962","8191","492","1213","3357","9314","1559","2090","140","175","3454","9404"
"11402","新竹市圖書館南寮分館","1728","4599","324","600","2030","5181","846","1007","88","100","2052","5199"
"11402","新竹市圖書館兒童閱覽室","3","4","2","4","4","5","0","0","4","4","5","8"
"11402","新竹市圖書館視聽室","0","0","0","0","0","0","0","0","0","0","0","0"
"11402","新竹市圖書館動物園分館","3638","13864","526","1442","4178","14286","966","1204","106","121","4164","15306"
"11402","新竹市圖書館龍山分館","5107","16209","869","2203","6207","18776","1727","2172","231","266","5976","18412"
"11402","新竹市微型圖書館","312","776","0","0","325","680","0","0","0","0","312","777"
"11402","新竹市青少年館","1872","5522","301","645","2276","6301","564","740","79","86","2173","6167"
"11402","新竹市圖書館關東分館","3271","9459","624","1369","3978","10621","1445","1835","126","139","3895","10828"
"11403","新竹市圖書館一般閱覽室","24","39","12","19","28","48","0","0","17","19","36","58"
"11403","新竹市圖書館香山分館","4812","15642","723","1549","5528","16362","1602","2124","174","209","5535","17191"
"11403","新竹市圖書館金山分館","2416","6607","412","748","2886","6733","952","1103","92","101","2828","7355"
"11403","新竹市圖書館鹽水分館","3394","9516","520","1115","3824","9754","1677","2284","162","198","3914","10631"
"11403","新竹市圖書館南寮分館","2072","5269","321","655","2329","5477","930","1105","75","92","2393","5924"
"11403","新竹市圖書館兒童閱覽室","6","7","4","4","7","9","0","0","2","2","10","11"
"11403","新竹市圖書館視聽室","0","0","0","0","0","0","0","0","0","0","0","0"
"11403","新竹市圖書館動物園分館","4108","15355","623","1574","5000","15939","1038","1311","113","125","4731","16929"
"11403","新竹市圖書館龍山分館","5815","18538","914","2130","6967","20142","1961","2532","224","266","6729","20668"
"11403","新竹市微型圖書館","284","717","0","0","362","795","0","0","0","0","284","717"
"11403","新竹市青少年館","2214","6346","330","734","2632","6552","713","931","99","125","2544","7080"
"11403","新竹市圖書館關東分館","3932","11228","725","1546","4616","11762","1605","2025","129","147","4657","12774"
"11404","新竹市圖書館一般閱覽室","25","64","12","21","36","98","0","0","19","21","37","85"
"11404","新竹市圖書館香山分館","4363","13326","699","1645","5435","15159","1485","1953","138","153","5062","14971"
"11404","新竹市圖書館金山分館","2166","5552","423","842","2730","5947","803","934","71","75","2589","6394"
"11404","新竹市圖書館鹽水分館","3075","8359","544","1170","3726","8798","1481","1942","124","151","3619","9529"
"11404","新竹市圖書館南寮分館","1873","4315","354","626","2248","4966","894","1084","64","72","2227","4941"
"11404","新竹市圖書館兒童閱覽室","3","4","3","4","5","6","0","0","10","10","6","8"
"11404","新竹市圖書館視聽室","0","0","0","0","0","0","0","0","0","0","0","0"
"11404","新竹市圖書館動物園分館","3820","13942","588","1433","4726","14863","887","1132","79","86","4408","15375"
"11404","新竹市圖書館龍山分館","5492","17338","867","1987","6789","19167","1810","2302","176","205","6359","19325"
"11404","新竹市微型圖書館","248","632","0","0","304","627","0","0","0","0","248","632"
"11404","新竹市青少年館","2112","5567","305","607","2619","6051","659","858","71","88","2417","6174"
"11404","新竹市圖書館關東分館","3723","10183","702","1473","4676","11345","1395","1731","116","130","4425","11656"
"11405","新竹市圖書館一般閱覽室","23","45","16","29","30","66","3","3","20","23","39","74"
"11405","新竹市圖書館香山分館","4789","15856","705","1614","5443","15956","1638","2144","135","200","5494","17470"
"11405","新竹市圖書館金山分館","2405","6380","396","733","2691","6161","920","1058","61","68","2801","7113"
"11405","新竹市圖書館鹽水分館","3366","9159","497","1050","3604","8709","1694","2368","137","171","3863","10209"
"11405","新竹市圖書館南寮分館","2102","5013","310","578","2350","5034","960","1189","74","83","2412","5591"
"11405","新竹市圖書館兒童閱覽室","0","0","3","4","0","0","0","0","3","5","3","4"
"11405","新竹市圖書館視聽室","1","1","0","0","1","1","0","0","0","0","1","1"
"11405","新竹市圖書館動物園分館","4034","14766","554","1398","4694","14800","1083","1356","110","120","4588","16164"
"11405","新竹市圖書館龍山分館","5916","18423","797","1883","6887","19294","2017","2564","209","229","6713","20306"
"11405","新竹市微型圖書館","221","537","0","0","287","615","0","0","0","0","221","537"
"11405","新竹市青少年館","2308","6667","315","627","2659","6418","618","806","62","78","2623","7294"
"11405","新竹市圖書館關東分館","3924","10782","672","1455","4648","11292","1396","1718","151","178","4596","12237"
"11406","新竹市圖書館一般閱覽室","16","28","11","21","17","33","1","1","28","30","27","49"
"11406","新竹市圖書館香山分館","5080","17263","684","1489","5489","15829","1716","2263","181","214","5764","18752"
"11406","新竹市圖書館金山分館","2388","6167","411","762","2726","6402","904","1050","67","70","2799","6929"
"11406","新竹市圖書館鹽水分館","3506","10306","490","979","3842","9877","1779","2538","150","185","3996","11285"
"11406","新竹市圖書館南寮分館","2256","5892","332","559","2359","5267","1018","1230","83","88","2588","6451"
"11406","新竹市圖書館兒童閱覽室","3","4","0","0","3","4","0","0","9","10","3","4"
"11406","新竹市圖書館視聽室","0","0","1","1","0","0","0","0","0","0","1","1"
"11406","新竹市圖書館動物園分館","4413","16913","520","1270","5027","15950","1158","1424","94","104","4933","18183"
"11406","新竹市圖書館龍山分館","6384","20568","868","1913","7180","20352","1997","2651","207","246","7252","22481"
"11406","新竹市微型圖書館","208","483","0","0","220","474","0","0","0","0","208","483"
"11406","新竹市青少年館","2388","7042","393","821","2749","6871","705","941","81","92","2781","7863"
"11406","新竹市圖書館關東分館","4056","11450","658","1365","4750","11884","1458","1788","125","139","4714","12815"
"11407","新竹市圖書館一般閱覽室","20","34","9","15","24","38","1","1","25","25","29","49"
"11407","新竹市圖書館香山分館","5932","21181","740","1853","6516","20209","1931","2625","219","263","6672","23034"
"11407","新竹市圖書館金山分館","2686","7592","410","737","3014","7001","1052","1230","69","76","3096","8329"
"11407","新竹市圖書館鹽水分館","3816","11433","499","1030","4253","11220","1859","2617","172","214","4315","12463"
"11407","新竹市圖書館南寮分館","2407","6473","360","632","2639","6269","1036","1296","99","117","2767","7105"
"11407","新竹市圖書館兒童閱覽室","2","3","3","3","3","5","0","0","12","13","5","6"
"11407","新竹市圖書館視聽室","1","1","0","0","2","2","0","0","0","0","1","1"
"11407","新竹市圖書館動物園分館","5003","19676","637","1748","5620","18605","1276","1647","137","158","5640","21424"
"11407","新竹市圖書館龍山分館","7500","25219","1007","2483","8566","25387","2346","3147","291","328","8507","27702"
"11407","新竹市微型圖書館","241","625","0","0","259","568","0","0","0","0","241","625"
"11407","新竹市青少年館","2668","8380","337","753","3164","8476","833","1112","116","133","3005","9133"
